model_name,model_scope,mae,rmse,mape,smape,wape,bias,over_forecast_rate,under_forecast_rate
SARIMAXDaily,daily_total,376.6909,525.4952,0.2151,0.1907,0.5241,0.3548,0.6667,0.3333
HoltWintersDaily,daily_total,377.5212,479.2416,0.2448,0.2726,0.5252,0.0887,0.4167,0.5833
HistGradientBoosting,interval,1.4566,2.0274,0.5306,0.4968,0.7781,0.1377,0.6505,0.3495
SeasonalProfile,interval,1.5348,2.0229,0.5396,0.5532,0.82,0.2126,0.5858,0.3434
PartnerForecast,interval,1.7213,3.1288,0.9316,0.7284,0.9196,0.1672,0.4212,0.3284
